SampleNumber,CTime,Duration,EnergyData
299,26.97991,90.03,1255.8
300,27.0704,90.49,1277.7
301,27.16118,90.78,1274.2
302,27.25194,90.77,1235.8
303,27.34236,90.42,1280
304,27.43239,90.02,1271.3
305,27.52239,90,1272.8
306,27.61239,90,1272.8
307,27.70242,90.02,1214.6
308,27.79242,90,1231
309,27.88246,90.04,1289.4
310,27.97302,90.56,1259.6
311,28.0648,91.79,1329.3
312,28.15581,91,1234.2
313,28.24583,90.02,1174
314,28.33587,90.05,1230.3
315,28.42663,90.76,1264.8
316,28.51736,90.72,1266.4
317,28.60809,90.73,1295.3
318,28.69809,90,1299.2
319,28.78864,90.54,1235.1
320,28.87942,90.78,1247.7
321,28.97035,90.93,1239.1
322,29.06042,90.06,1244
323,29.15044,90.02,1221.2
324,29.24044,90,1210.4
325,29.33045,90.01,1237.7
326,29.42076,90.31,1599.2
327,29.51076,90,1433.4
328,29.60149,90.73,1370
329,29.69187,90.38,1356.3
330,29.78226,90.39,1347.8
331,29.87227,90.02,1222.5
332,29.96235,90.08,1264.4
333,30.05237,90.02,1362.9
334,30.1424,90.03,1437.2
335,30.2324,90,1366.1
336,30.3224,90,1501.5
337,30.41247,90.07,1402.5
338,30.50251,90.04,1418.4
339,30.59373,91.22,1631.3
340,30.68435,90.62,1500.1
341,30.77514,90.79,1378.8
342,30.86589,90.75,1404.7
343,30.95629,90.4,1383.4
344,31.0463,90,1340.9
345,31.13682,90.52,1441.5
346,31.22708,90.26,1446.7
347,31.31747,90.4,1374.8
348,31.40798,90.51,1355.8
349,31.49984,91.86,1270.3
350,31.59016,90.33,1354.1
351,31.68045,90.28,1220.3
352,31.77045,90.01,1265.1
353,31.86093,90.48,1307.9
354,31.95235,91.41,1288.3
355,32.04235,90,1280
356,32.13242,90.07,1326.4
357,32.22248,90.07,1285.5
358,32.31279,90.3,1519.5
359,32.40284,90.05,1365.8
360,32.49286,90.02,1434.8
361,32.58458,91.72,1323.4
362,32.67511,90.53,1267.3
363,32.76513,90.02,1288.1
364,32.85582,90.69,1337.2
365,32.9486,92.79,1405.6
366,33.03863,90.03,1279.5
367,33.12898,90.35,1853.6
368,33.21988,90.9,1268.4
369,33.31166,91.78,1314.7
370,33.40236,90.69,1253.9
371,33.49241,90.06,1352
372,33.58245,90.04,1305.6
373,33.67248,90.02,1304.9
374,33.7639,91.42,1330.9
375,33.85469,90.79,1250.4
376,33.9448,90.11,1273.4
377,34.03556,90.76,1299.7
378,34.12634,90.78,1462.5
379,34.21711,90.76,1380.4
380,34.30727,90.17,1227.7
381,34.39764,90.37,1328.4
382,34.48838,90.73,1251.5
383,34.57913,90.76,1345.4
384,34.66956,90.43,1273.9
385,34.75965,90.09,1277.5
386,34.85143,91.78,1314.9
387,34.94216,90.73,1280.6
388,35.03236,90.2,1275.2
389,35.12238,90.02,1252.5
390,35.21239,90,1317.6
391,35.30242,90.03,1257.2
392,35.39246,90.04,1225.3
393,35.48246,90,1259.9
394,35.57249,90.03,1257
395,35.66249,90.01,1270.9
396,35.75262,90.13,1264.2
397,35.84435,91.73,1282.5
398,35.93511,90.75,1230.7
399,36.02512,90.01,1296.6
400,36.11568,90.56,1242.1
401,36.20744,91.76,1270.6
402,36.29818,90.73,1325.7
403,36.38894,90.76,1280.2
404,36.47975,90.81,1221.4
405,36.56989,90.14,1321.4
406,36.6603,90.41,1207.2
407,36.75057,90.26,1384
408,36.84088,90.31,1251.2
409,36.93089,90.01,1211.1
410,37.0215,90.62,1248.8
411,37.11242,90.92,1298.7
412,37.20243,90,1192.8
413,37.29243,90,1231.4
414,37.38247,90.04,1224.5
415,37.47247,90,1226
416,37.56247,90,1308.6
417,37.65276,90.29,1283
418,37.74358,90.82,1255.7
419,37.83431,90.73,1231
420,37.92506,90.76,1306.2
421,38.01585,90.78,1284.3
422,38.10757,91.73,1295.8
423,38.19759,90.02,1183.6
424,38.28916,91.57,1334.2
425,38.37981,90.66,1235.5
426,38.47017,90.35,1246.5
427,38.56046,90.3,1289.1
428,38.65047,90.01,1260.4
429,38.74106,90.59,1209.8
430,38.83178,90.72,1310
431,38.92178,90,1227.1
432,39.01231,90.52,1263.5
433,39.10244,90.13,1311.2
434,39.19247,90.04,1255.5
435,39.2825,90.03,1252.4
436,39.37337,90.87,1304.8
437,39.46337,90.01,1197.9
438,39.55393,90.56,1247.1
439,39.64462,90.69,1373.7
440,39.73545,90.83,1346.3
441,39.82604,90.59,1444.3
442,39.9165,90.46,1324.2
443,40.00673,90.23,1423.6
444,40.09699,90.26,1808.9
445,40.18752,90.53,1821.5
446,40.27752,90,1809.4
447,40.36829,90.77,2200.6
448,40.45864,90.35,1812.8
449,40.5488,90.16,1837.2
450,40.6389,90.09,2044.5
451,40.72891,90.02,2510.7
452,40.81906,90.15,2338
453,40.90981,90.75,1967.2
454,41.00106,91.24,2064.3
455,41.09105,90,1937.7
456,41.18106,90.01,1923.6
457,41.27106,90,2724.7
458,41.36137,90.3,2352
459,41.45137,90,1822.1
460,41.54189,90.52,1916.3
461,41.63227,90.39,1926.5
462,41.72239,90.11,1978.2
463,41.81239,90.01,1979.6
464,41.90242,90.02,1198.9
465,41.99242,90,996.9
466,42.08245,90.03,1010.9
467,42.17247,90.03,909.8
468,42.26248,90,886.8
469,42.35252,90.04,990.5
470,42.44252,90.01,933.7
471,42.53253,90,916.3
472,42.62304,90.51,1007.3
473,42.71585,92.82,903.3
474,42.80812,92.27,999.5
475,42.89885,90.72,970.9
476,42.98963,90.78,1008.4
477,43.08039,90.76,882.9
478,43.17212,91.73,911.1
479,43.26239,90.28,887.2
480,43.35245,90.06,867.3
481,43.44246,90.01,911.1
482,43.53249,90.03,885.4
483,43.62291,90.42,1026.1
484,43.71292,90.01,1011.7
485,43.80346,90.54,987.1
486,43.89423,90.76,888.3
487,43.98597,91.74,1419.8
488,44.07601,90.04,908.5
489,44.16606,90.04,909.4
490,44.25877,92.71,898.9
491,44.34956,90.79,885.1
492,44.44028,90.72,927.6
493,44.53103,90.75,967.3
494,44.6218,90.77,902.6
495,44.71193,90.13,900
496,44.80219,90.26,938.5
497,44.89243,90.24,873
498,44.98243,90,1028.3
499,45.07245,90.02,999.9
500,45.16249,90.04,1201.5
501,45.25294,90.45,917.3
502,45.34295,90.01,912
503,45.4331,90.15,914.6
504,45.52339,90.29,1009.6
505,45.61372,90.32,970.8
506,45.70444,90.72,904.1
507,45.79518,90.74,923.6
508,45.88519,90.02,887.6
509,45.97572,90.53,931.6
510,46.06647,90.76,1135.3
511,46.15826,91.79,922
512,46.24833,90.07,918
513,46.33836,90.02,910
514,46.42854,90.19,877
515,46.51931,90.77,934.3
516,46.61003,90.72,976
517,46.70079,90.75,992.3
518,46.79158,90.79,884.1
519,46.88243,90.86,873
520,46.97243,90,912.4
521,47.06247,90.04,994.1
522,47.15248,90.01,933.3
523,47.24249,90,931.9
524,47.3325,90.02,869.6
525,47.42253,90.03,875.1
526,47.51291,90.37,885.3
527,47.6037,90.79,910.9
528,47.69401,90.31,937.2
529,47.78424,90.23,882.7
530,47.87506,90.82,914.4
531,47.96531,90.25,900.8
532,48.05762,92.32,1008.5
533,48.14838,90.76,863
534,48.23914,90.75,978.5
535,48.32993,90.78,900.9
536,48.42062,90.7,895.6
537,48.51062,90,927.9
