SampleNumber,CTime,Duration,PowerData
312,28.15581,91,13561.84
313,28.24583,90.02,13041.76
314,28.33587,90.05,13662.8
315,28.42663,90.76,13935.94
316,28.51736,90.72,13959.48
317,28.60809,90.73,14275.7
318,28.69809,90,14435.25
319,28.78864,90.54,13640.83
320,28.87942,90.78,13743.27
321,28.97035,90.93,13626.04
322,29.06042,90.06,13812.17
323,29.15044,90.02,13565.87
324,29.24044,90,13449.21
325,29.33045,90.01,13750.51
326,29.42076,90.31,17707.26
327,29.51076,90,15926.84
328,29.60149,90.73,15100.09
329,29.69187,90.38,15007.01
330,29.78226,90.39,14911.32
331,29.87227,90.02,13580.44
332,29.96235,90.08,14037.1
333,30.05237,90.02,15140.18
334,30.1424,90.03,15963.71
335,30.2324,90,15179.31
336,30.3224,90,16682.66
337,30.41247,90.07,15570.51
338,30.50251,90.04,15752.54
339,30.59373,91.22,17883.61
340,30.68435,90.62,16553.58
341,30.77514,90.79,15187.32
342,30.86589,90.75,15478.16
343,30.95629,90.4,15302.9
344,31.0463,90,14898.87
345,31.13682,90.52,15924.02
346,31.22708,90.26,16027.96
347,31.31747,90.4,15208.81
348,31.40798,90.51,14979.96
349,31.49984,91.86,13828.83
350,31.59016,90.33,14991.53
351,31.68045,90.28,13517.01
352,31.77045,90.01,14055.19
353,31.86093,90.48,14455.15
354,31.95235,91.41,14092.82
355,32.04235,90,14221.46
356,32.13242,90.07,14726.79
357,32.22248,90.07,14272.87
358,32.31279,90.3,16827.08
359,32.40284,90.05,15166.94
360,32.49286,90.02,15938.76
361,32.58458,91.72,14428.16
362,32.67511,90.53,13998.44
363,32.76513,90.02,14308.93
364,32.85582,90.69,14744.94
365,32.9486,92.79,15149.36
366,33.03863,90.03,14212.23
367,33.12898,90.35,20517.32
368,33.21988,90.9,13954.14
369,33.31166,91.78,14323.75
370,33.40236,90.69,13825.79
371,33.49241,90.06,15012.49
372,33.58245,90.04,14499.88
373,33.67248,90.02,14494.97
374,33.7639,91.42,14558.19
375,33.85469,90.79,13773.03
376,33.9448,90.11,14131.37
377,34.03556,90.76,14321.24
378,34.12634,90.78,16109.83
379,34.21711,90.76,15209.08
380,34.30727,90.17,13615.35
381,34.39764,90.37,14698.84
382,34.48838,90.73,13792.6
383,34.57913,90.76,14824.28
384,34.66956,90.43,14087.15
385,34.75965,90.09,14180.83
386,34.85143,91.78,14326.76
